column,dtype,non_null,sample_unique_count,sample_unique_preview
CasId,int64,112870,134,656; 889; 293; 162; 658; 730; 958; 773; 957; 893; 92; 890; 964; 732; 776; 104; 1104; 750; 586; 754; 442; 726; 938; 570; 9; 333; 1115; 871; 1001; 305; 892; 299; 967; 1102; 421; 968; 759; 1045; 1049; 927; 390; 894; 1046; 566; 608; 620; 2; 969; 270; 715; 214; 311; 388; 221; 61; 71; 516; 594; 433; 97
CasNumber,object,106581,126,13463-67-7; 65996-92-1; 140-67-0; 68603-42-9; 108-88-3; nan; 68-26-8; 79-81-2; 11103-57-4; 25013-16-5; 84650-00-0; 120-40-1; 1333-86-4; 57-83-0; 93-15-2; 90-43-7; 79-06-1; 50-00-0; 90045-36-6; 1317-70-0; 12001-26-2; 107-21-1; 127-47-9; 140-88-5; 68155-06-6; 0; 67-56-1; 446-72-0; 661791-31-9; 111-42-2; 139-96-8; 301-04-2; 14807-96-6; 102-71-6; 13463-67-7 ; 95-54-5; 94-59-7; 100-42-5; 75-07-0; 123-91-1; 79-43-6; 75-21-8; 7439-92-1; 75-09-2; 71-43-2; 100-44-7; 62-75-9; 75-56-9; 74-87-3; 7440-43-10; 872-50-4; 79812; 84-74-2; 79-818-2; 201-228-5; 91-22-5; 463-57-0; 119-61-9; 98084-96-9; 79-91-2
